_dt,location,trend,tweet_volume
2017-08-20T23:00:11.058Z,Can Tho,Joss Whedon,
2017-08-20T23:00:11.105Z,El Paso,Joss Whedon,
2017-08-20T23:00:11.154Z,Phoenix,Joss Whedon,
2017-08-20T23:00:11.168Z,New Orleans,Joss Whedon,
2017-08-20T23:00:11.180Z,Hanoi,Joss Whedon,
2017-08-20T23:00:11.192Z,Los Angeles,Joss Whedon,
2017-08-20T23:00:11.214Z,Austin,Joss Whedon,
2017-08-20T23:00:11.219Z,Jackson,Joss Whedon,
2017-08-20T23:00:11.273Z,Sacramento,Joss Whedon,
2017-08-20T23:00:11.298Z,Memphis,Joss Whedon,
2017-08-20T23:00:11.339Z,Las Vegas,Joss Whedon,
2017-08-20T23:00:11.384Z,Orlando,Joss Whedon,
2017-08-20T23:00:11.421Z,Baton Rouge,Joss Whedon,
2017-08-20T23:00:11.436Z,Fresno,Joss Whedon,
2017-08-20T23:00:11.446Z,Detroit,Joss Whedon,
2017-08-20T23:00:11.532Z,Denver,Joss Whedon,
2017-08-20T23:00:11.538Z,Tallahassee,Joss Whedon,
2017-08-20T23:00:11.553Z,St. Louis,Joss Whedon,
2017-08-20T23:00:11.568Z,San Francisco,Joss Whedon,
2017-08-20T23:00:11.689Z,Portland,Joss Whedon,
2017-08-20T23:00:11.721Z,Canada,Joss Whedon,
2017-08-20T23:00:11.755Z,Minneapolis,Joss Whedon,
2017-08-20T23:00:11.776Z,Oklahoma City,Joss Whedon,
2017-08-20T23:00:11.808Z,Puerto Rico,Joss Whedon,
2017-08-20T23:00:11.850Z,Tucson,Joss Whedon,
2017-08-20T23:00:11.861Z,Louisville,Joss Whedon,
2017-08-20T23:00:11.910Z,Cincinnati,Joss Whedon,
2017-08-20T23:00:11.916Z,Richmond,Joss Whedon,
2017-08-20T23:00:11.949Z,Omaha,Joss Whedon,
2017-08-20T23:00:11.964Z,United States,Joss Whedon,
2017-08-20T23:00:12.007Z,United Kingdom,Joss Whedon,
2017-08-20T23:00:12.056Z,Baltimore,Joss Whedon,
2017-08-20T23:00:12.091Z,Albuquerque,Joss Whedon,
